est1 est2 est3 est4 est5 est6 est7 est8 est9 est10 est11 est12 est13 est14 est15 est16 est17 est18 est19 est20 est21 est22 est23 est24 est25 est26 est27 est28 est29
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.70	0.00
80.40	0.00	0.00	0.00	0.00	12.00	10.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.80	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
70.40	4.60	5.00	5.00	17.40	0.00	8.20	2.60	38.40	28.60	0.00	14.60	0.30	1.80	4.50	0.00	0.00	0.60	0.00	29.20	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	8.40
80.60	0.10	0.00	5.00	8.10	0.20	0.00	9.70	6.80	15.40	0.00	0.00	74.80	0.00	0.80	1.40	0.00	0.80	0.00	2.60	0.00	0.00	0.20	0.00	0.00	0.20	2.60	0.00	4.20
0.00	0.00	0.00	4.80	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	9.40	102.20	24.20	74.80	13.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.10	9.50
0.00	11.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.20	2.60	7.30	4.80	17.10	6.30	1.60	6.00	0.00	0.00	10.60	38.10	0.20	2.40	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.20	0.00	0.00	0.00	4.40	0.00	14.40	2.60	5.20	0.00	0.00	0.00	0.00	0.40	1.20	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.40	0.10	7.00	11.80	1.80	0.00	0.00	0.60	0.40	0.00	0.00	61.00	51.10	24.70	0.00	14.60	10.60	0.00
0.00	1.20	0.00	0.60	5.10	13.00	0.00	0.00	0.00	0.00	0.00	15.60	27.20	3.80	17.10	3.80	31.40	1.90	0.00	0.00	0.00	0.00	0.00	13.10	2.60	5.50	0.00	1.90	31.80
0.00	0.60	0.00	0.00	24.60	0.00	8.20	8.80	0.00	0.00	0.00	0.00	6.10	3.80	22.50	9.20	48.50	17.00	14.60	0.00	75.20	0.00	0.00	0.00	11.00	0.00	0.00	1.40	20.30
48.60	22.20	34.00	8.00	20.60	46.00	1.40	2.60	11.40	40.80	7.60	1.80	0.00	40.40	3.30	25.60	36.10	16.00	1.20	4.60	0.00	14.40	110.40	0.50	1.00	26.60	8.50	21.80	39.40
0.00	0.40	0.00	0.60	0.00	0.00	0.00	2.00	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.20	0.00	5.60	0.20	0.00	3.00	20.00	0.00	2.30	3.40	1.50	10.00	1.20
0.00	0.00	0.00	0.00	0.00	13.00	0.00	0.30	0.00	0.00	0.00	0.00	9.20	0.00	7.20	1.20	1.10	0.00	1.20	0.00	0.00	0.00	0.30	6.20	4.90	9.60	15.90	8.40	0.00
0.00	0.00	0.00	0.80	2.20	0.40	0.00	0.00	0.00	0.00	13.40	0.00	1.00	0.00	0.00	8.40	15.80	7.40	4.60	0.00	0.00	0.00	0.00	0.00	0.00	9.40	0.70	14.80	8.30
